date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:16:21	25798/25798	---MC-	200	added ('OK')	image/jpeg	etag:%2237c596a3a8a4ff019a1ce7b56673adca%22	https://framerusercontent.com/images/GzdDmhDanXvan2khIjgdAmAqY.jpeg?scale-down-to=512&width=2000&height=2000%20512w,https://framerusercontent.com/images/GzdDmhDanXvan2khIjgdAmAqY.jpeg?scale-down-to=1024&width=2000&height=2000%201024w,https://framerusercontent.com/images/GzdDmhDanXvan2khIjgdAmAqY.jpeg?width=2000&height=2000%202000w	D:/websites/KUBbarcellona/SIto%20Papi/framerusercontent.com/images/GzdDmhDanXvan2khIjgdAmAqYf87a.jpg	(from https://www.kubarcelona.com/)
15:16:21	73047/73047	---MC-	200	added ('OK')	image/jpeg	etag:%22588eded04a0f30164419bca963be5e53%22	https://framerusercontent.com/images/GOTQb06Q020A1Vl1hd54eY7mFo.jpg?scale-down-to=512&width=1200&height=1200%20512w,https://framerusercontent.com/images/GOTQb06Q020A1Vl1hd54eY7mFo.jpg?scale-down-to=1024&width=1200&height=1200%201024w,https://framerusercontent.com/images/GOTQb06Q020A1Vl1hd54eY7mFo.jpg?width=1200&height=1200%201200w	D:/websites/KUBbarcellona/SIto%20Papi/framerusercontent.com/images/GOTQb06Q020A1Vl1hd54eY7mFo20e0.jpg	(from https://www.kubarcelona.com/)
15:16:33	468409/468409	---MC-	200	added ('OK')	image/png	etag:%2296ef61b58df39944247f09f222a20393%22	https://framerusercontent.com/images/VwuMetr5e6u7h6aoGnF5Bpgq7uY.png?scale-down-to=1024&width=1080&height=1440%20768w,https://framerusercontent.com/images/VwuMetr5e6u7h6aoGnF5Bpgq7uY.png?width=1080&height=1440%201080w	D:/websites/KUBbarcellona/SIto%20Papi/framerusercontent.com/images/VwuMetr5e6u7h6aoGnF5Bpgq7uY1231.png	(from https://www.kubarcelona.com/)
15:16:34	20808/20808	---MC-	200	added ('OK')	image/png	etag:%2219f7438646be1122951f298f3658dd3e%22	https://framerusercontent.com/images/4j2Xi9NxqA1m2dmsY1A1sSSnGXs.png?width=4448&height=717	D:/websites/KUBbarcellona/SIto%20Papi/framerusercontent.com/images/4j2Xi9NxqA1m2dmsY1A1sSSnGXs8455.png	(from https://www.kubarcelona.com/off-bcn)
15:16:34	12403/12403	---MC-	200	added ('OK')	image/png	etag:%22ae2a592893df6f28d2386960390e6e6c%22	https://framerusercontent.com/images/1oT6V46dFARCpgtLOv1kDly4.png?width=536&height=520	D:/websites/KUBbarcellona/SIto%20Papi/framerusercontent.com/images/1oT6V46dFARCpgtLOv1kDly4bc11.png	(from https://www.kubarcelona.com/off-bcn)
15:16:34	27624/27624	---MC-	200	added ('OK')	image/png	etag:%22b47dec652da034022339780d4e7f098b%22	https://framerusercontent.com/images/CVn8o00upTD9k5NXDJjsr5kxCw.png?width=2421&height=792	D:/websites/KUBbarcellona/SIto%20Papi/framerusercontent.com/images/CVn8o00upTD9k5NXDJjsr5kxCw9110.png	(from https://www.kubarcelona.com/off-bcn)
15:16:35	2119/2119	---MC-	200	added ('OK')	image/png	etag:%2216a80abea11d9fb91809216083038cb0%22	https://framerusercontent.com/images/t63VJDWQuVgxvHDGWBiq6LMTDM.png?width=310&height=162	D:/websites/KUBbarcellona/SIto%20Papi/framerusercontent.com/images/t63VJDWQuVgxvHDGWBiq6LMTDM1f6f.png	(from https://www.kubarcelona.com/off-bcn)
15:16:35	3825/3825	---MC-	200	added ('OK')	image/png	etag:%223bc5ee0be20b426d5aaa2fa322297530%22	https://framerusercontent.com/images/oQp6xRjqU9zAqGQV7VFajK50.png?width=949&height=284	D:/websites/KUBbarcellona/SIto%20Papi/framerusercontent.com/images/oQp6xRjqU9zAqGQV7VFajK50c162.png	(from https://www.kubarcelona.com/off-bcn)
15:16:36	47887/47887	---MC-	200	added ('OK')	image/png	etag:%22d3f01dc889bdc54ba0354b56554ed91a%22	https://framerusercontent.com/images/hIs5mbbXLYnT95n3mchxN4dTy0A.png?width=8185&height=1053	D:/websites/KUBbarcellona/SIto%20Papi/framerusercontent.com/images/hIs5mbbXLYnT95n3mchxN4dTy0Aa0c5.png	(from https://www.kubarcelona.com/off-bcn)
15:16:37	7384/7384	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2025%20May%202026%2013:16:37%20GMT	https://www.kubarcelona.com/%22https://www.fourvenues.com/assets/iframe/team-off-week%22	D:/websites/KUBbarcellona/SIto%20Papi/www.kubarcelona.com/_https_/www.fourvenues.com/assets/iframe/team-off-week_.2e.delayed	(from https://www.kubarcelona.com/off-bcn)
15:16:40	154803/154803	---MC-	200	added ('OK')	image/png	etag:%22351db15704070227f81ee9a013fbdceb%22	https://framerusercontent.com/images/iksYmHFMj2zscAw71JoorqKn34.png?width=4864&height=2625	D:/websites/KUBbarcellona/SIto%20Papi/framerusercontent.com/images/iksYmHFMj2zscAw71JoorqKn34d93f.png	(from https://www.kubarcelona.com/off-bcn)
